element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Na,2,4836.610,0.003,4836.64,0.03
Cr,1,4837.023,0.002,4837.0245,0.0005
Fe,1,4837.2188,0.0007,4837.2184,0.0003
Ti,1,4837.473,0.003,4837.4723,0.0014
Th,2,4837.5344,0.0005,4837.53437,0.00007
Cr,1,4837.71,0.03,4837.704,0.016
Cr,1,4838.2030,0.0007,4838.2037,0.0003
Yb,2,4838.31,0.10,,
Cr,1,4838.54,0.03,4838.518,0.016
Ti,1,4838.748,0.003,4838.7473,0.0014
Th,2,4839.0552,0.0007,4839.05523,0.00009
Fe,1,4839.232,0.005,4839.2271,0.0005
Fe,1,4839.436,0.004,4839.4400,0.0003
Th,2,4839.7066,0.0004,4839.70634,0.00016
Cr,1,4839.770,0.020,4839.773,0.003
Fe,1,4839.8634,0.0007,4839.8632,0.0003
Ni,1,,,4839.995,0.010
Zr,1,4840.13,0.10,,
Cr,1,4840.23,0.10,4840.2088,0.0007
Cr,1,4840.23,0.10,4840.274,0.019
Cr,1,4840.23,0.10,4840.30,0.03
Th,2,4840.456,0.003,4840.45510,0.00009
Y,1,4840.4991,0.0010,4840.4974,0.0005
Ti,1,4840.605,0.003,4840.6035,0.0014
Fe,1,4840.8964,0.0007,4840.8964,0.0003
Th,2,4840.915,0.003,4840.9144,0.0004
Cr,1,4840.92,0.03,4840.915,0.019
Lu,2,4840.97,0.10,,
Th,2,4841.0923,0.0005,4841.09230,0.00005
Fe,1,4841.120,0.005,4841.1202,0.0005
Y,1,4841.218,0.010,4841.2133,0.0010
La,2,4841.36,0.10,4841.37+,0.03
Fe,1,4841.6738,0.0007,4841.6734,0.0003
Cr,1,4841.72,0.03,4841.711,0.016
Th,2,4841.823,0.003,4841.82388,0.00009
Th,2,4841.82689,0.00016,4841.82853,0.00007
Ti,1,4842.226,0.003,4842.2262,0.0012
Fe,1,4842.249,0.004,4842.2494,0.0003
Th,2,4842.390,0.003,4842.3906,0.0003
Cr,1,4842.49,0.03,4842.456,0.016
Th,2,4842.673,0.003,4842.67273,0.00014
Th,2,4842.738,0.003,4842.73070,0.00019
Cr,1,4843.087,0.030,4843.052,0.019
Cr,1,4843.087,0.030,4843.098,0.016
Fe,1,4843.1375,0.0019,4843.1369,0.0003
Na,2,4843.23,0.10,,
Cr,1,4843.26,0.03,4843.265,0.021
Cu,1,4843.643,0.021,4843.628,0.019
Th,2,4843.915,0.003,4843.91773,0.00014
Ti,1,4843.952,0.006,4843.9432,0.0021
Fe,1,4844.067,0.004,4844.0680,0.0003
Fe,1,4844.1411,0.0019,4844.1405,0.0003
V,1,4844.353,0.010,4844.3503,0.0009
Cr,1,4844.426,0.020,4844.4294,0.0007
Fe,1,4844.4966,0.0007,4844.4960,0.0003
Ni,1,,,4844.511,0.010
Fe,1,,,4844.70070,0.00023
Ni,1,,,4844.863,0.010
Th,2,4845.168,0.003,4845.16866,0.00023
Ti,1,4845.328,0.003,4845.3326,0.0012
Fe,1,4845.3669,0.0007,4845.3667,0.0003
Th,2,4845.51881,0.00019,4845.51871,0.00007
Sm,2,4845.56,0.10,,
Th,2,4845.6137,0.0006,4845.61406,0.00012
Mn,1,4845.67,0.10,,
Ru,1,4845.91,0.10,4845.92+,0.03
Th,2,4846.1090,0.0004,4846.10899,0.00007
Ti,1,4846.209,0.003,4846.2047,0.0019
Ni,1,,,4846.522,0.010
Fe,1,4847.0016,0.0007,4847.0001,0.0005
Y,1,4847.022,0.010,4847.0193,0.0012
Th,2,4847.2893,0.0007,4847.28895,0.00009
Cr,1,4847.658,0.004,4847.6585,0.0004
Ti,1,4847.687,0.003,4847.6889,0.0007
Cr,1,4847.79,0.05,4847.7687,0.0014
Cr,1,4847.79,0.05,4847.774,0.024
Cr,1,4847.79,0.05,4847.7864,0.0003
V,1,4847.961,0.004,4847.9626,0.0007
Ti,1,4848.182,0.003,4848.1854,0.0007
Cr,1,4848.5420,0.0019,4848.5413,0.0003
Ti,1,4848.657,0.003,4848.6527,0.0014
Ti,1,4848.657,0.003,4848.6680,0.0012
Fe,1,,,4848.9424,0.0003
Sm,2,4849.11,0.10,,
Ag,1,4849.17,0.10,4848.93,0.47
Th,2,4849.241,0.003,4849.24578,0.00014
Ti,1,4849.561,0.003,4849.5629,0.0009
Ti,1,4849.764,0.003,4849.7645,0.0012
Ti,1,4849.832,0.003,4849.8315,0.0009
V,1,4850.1630,0.0018,4850.1632,0.0007
Th,2,4850.1874,0.0021,4850.18733,0.00021
Fe,1,4850.2378,0.0019,4850.2368,0.0003
V,1,4850.270,0.003,4850.262,0.003
V,1,4850.270,0.003,4850.2650,0.0012
Th,2,4850.3956,0.0003,4850.39580,0.00016
Nd,2,4850.41,0.10,4850.417+,0.003
V,1,4850.620,0.003,4850.6170,0.0007
Th,2,4850.8034,0.0007,4850.80293,0.00007
Fe,1,4851.023,0.004,4851.0229,0.0005
K,1,4851.220,0.010,4851.21941,0.00016
Na,6,,,4860,30
Th,2,4851.3818,0.0007,4851.38268,0.00016
Cr,1,4851.566,0.004,4851.5697,0.0007
Th,2,4851.79468,0.00007,4851.79461,0.00005
La,2,4851.94,0.10,4851.96+,0.03
Th,2,4852.152,0.003,4852.13848,0.00016
Cr,1,4852.32,0.06,4852.292,0.024
Yb,2,4852.51,0.10,,
Ti,1,4852.629,0.003,4852.6323,0.0012
Ti,1,4852.714,0.003,4852.7058,0.0012
Zr,1,4852.72,0.10,,
Cr,1,4852.819,0.008,4852.8199,0.0003
V,1,4852.8456,0.0015,4852.8455,0.0005
Tm,2,4853.26,0.10,,
Th,2,4853.2643,0.0024,4853.25648,0.00014
V,1,4853.318,0.005,4853.313,0.003
Ni,1,,,4853.910,0.010
Y,1,4854.038,0.010,4854.0322,0.0010
Y,1,4855.599,0.010,4855.6007,0.0009
Sm,2,4855.72,0.10,,
Th,2,4856.003,0.003,4856.0081,0.0003
Ti,1,4856.093,0.003,4856.0943,0.0009
Sr,1,4856.401,0.002,4856.4011,0.0018
Cr,1,4856.508,0.002,4856.5105,0.0009
V,1,4856.723,0.004,4856.722,0.003
Ni,1,4856.77,0.10,4856.767,0.010
Ho,2,4856.90,0.10,,
Fe,1,4857.0294,0.0007,4857.0292,0.0003
Ti,1,4857.367,0.003,4857.3668,0.0024
K,1,4857.447,0.010,4857.44865,0.00017
Dy,2,4857.60,0.10,,
Th,2,4857.6323,0.0006,4857.63289,0.00007
V,1,4857.9074,,4857.9074,0.0003
Y,1,4858.071,0.010,4858.0693,0.0007
Th,2,4858.314,0.003,4858.32137,0.00019
V,1,4858.414,0.004,4858.4137,0.0009
Th,2,4858.516,0.003,4858.51662,0.00014
Cr,1,4858.656,0.002,4858.6563,0.0007
Ti,1,4858.814,0.003,4858.8139,0.0007
Th,2,4859.4516,0.0004,4859.45158,0.00012
Th,2,4859.598,0.003,4859.59883,0.00021
Fe,1,4859.601,0.005,4859.6031,0.0003
Th,2,4859.68994,0.00017,4859.68996,0.00007
Mo,1,4859.746,0.010,4859.746+,0.003
Cr,1,4860.19,0.03,4860.1992,0.0003
Nd,2,4860.387,0.010,4860.383+,0.003
V,1,4860.472,0.002,4860.4728,0.0017
Fe,1,4860.4789,0.0019,4860.4787,0.0003
Fe,1,4861.0986,0.0007,4861.0990,0.0003
Cr,1,4861.16,0.03,4861.1586,0.0003
Y,1,4861.1989,0.0010,4861.2003,0.0012
Cr,1,4861.73,0.03,4861.7333,0.0009
Th,2,4861.7815,0.0005,4861.78146,0.00014
La,2,4862.27,0.10,4862.25+,0.03
Fe,1,4862.3360,0.0007,4862.3354,0.0003
U,2,4862.35,0.10,,
Cr,1,4862.5545,0.0007,4862.5562,0.0012
H,1,,,4862.6365622,0.0000019
H,1,4862.64130267,0.00000019,4862.64130279,0.00000019
H,1,,,4862.6420,0.0014
H,1,4862.64488953,0.00000008,4862.64488968,0.00000007
H,1,,,4862.64631087,0.00000009
H,1,4862.65465422,0.00000008,4862.65465437,0.00000007
H,1,4862.65570377,0.00000012,4862.65570389,0.00000012
H,1,,,4862.6830,0.0014
H,1,4862.71,0.05,4862.691,0.003
