element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Ti,1,5395.659,0.003,5395.6579,0.0017
Mo,1,5396.006,0.010,5396.007+,0.004
Mn,1,5396.17,0.10,5396.176,0.010
Fe,1,5396.718,0.004,5396.7170,0.0004
Pd,1,5396.7201,0.0010,5396.7205,0.0010
Er,2,5397.37,0.10,,
Zr,1,5397.38,0.10,,
Th,2,5398.039,0.003,5398.03850,0.00017
Ti,1,5398.096,0.003,5398.0935,0.0009
Th,2,5398.205,0.004,5398.21425,0.00020
Th,2,5398.402,0.003,5398.4062,0.0003
Ti,1,5398.563,0.003,5398.5635,0.0012
Fe,1,5398.6281,0.0009,5398.6279,0.0004
Fe,1,5398.7025,0.0023,5398.6988,0.0004
Mo,1,5398.869,0.010,5398.869+,0.004
Fe,1,5399.1182,0.0009,5399.1185,0.0004
V,1,5399.344,0.003,5399.3462,0.0005
Fe,1,5399.7800,0.0009,5399.7794,0.0004
Cu,1,5399.909,0.021,5399.912,0.015
Fe,1,5400.316,0.004,5400.3131,0.0009
V,1,5400.408,,5400.4102,0.0006
Na,3,,,5400.45,0.08
Na,2,5400.91,0.10,5400.88,0.15
Na,2,5400.91,0.10,5400.96,0.15
Na,2,5400.91,0.10,5400.88,0.15
Na,2,5400.91,0.10,5400.96,0.15
Mn,1,5400.99,0.10,,
Dy,2,5401.43,0.10,,
Mo,1,5401.960,0.010,5401.962+,0.004
Tm,2,5401.96,0.10,,
Na,2,5401.965,0.003,5401.94,0.15
Fe,1,5402.0032,0.0009,5402.0021,0.0004
Cr,1,5402.0982,0.0003,5402.09836,0.00020
Fe,1,5402.1570,0.0023,5402.1562,0.0004
Th,2,5402.367,0.004,5402.36579,0.00012
Ru,1,5402.549,0.010,,
Fe,1,5402.7703,0.0023,5402.7677,0.0007
Ti,1,5402.882,0.004,5402.8804,0.0012
Ru,1,5402.89,0.10,5402.90+,0.04
Th,2,5403.235,0.003,5403.2315,0.0004
Y,1,5403.3788,0.0010,5403.3784,0.0004
V,1,5403.424,0.002,5403.4242,0.0012
Na,2,5403.57,0.10,5403.51,0.15
Na,2,5403.57,0.10,5403.77,0.15
Ti,1,5404.207,0.004,5404.2048,0.0012
Th,2,5404.282,0.004,5404.2813,0.0004
Fe,1,5405.3235,0.0009,5405.3242,0.0004
Ti,1,5405.516,0.004,5405.5141,0.0018
Fe,1,5405.6192,0.0009,5405.6193,0.0004
Fe,1,5405.6537,0.0009,5405.6532,0.0004
Cr,1,5406.496,0.004,5406.4940,0.0005
Zr,1,5406.63,0.10,,
Th,2,5406.7124,0.0007,5406.71221,0.00007
Fe,1,5406.8523,0.0023,5406.8524,0.0004
Mo,1,5407.276,0.010,5407.276+,0.004
Fe,1,5407.2778,0.0009,5407.2772,0.0004
Tm,2,5407.48,0.10,,
Ti,1,5407.688,0.004,5407.6831,0.0020
Th,2,5407.8378,0.0009,5407.83682,0.00018
Mo,1,5407.879,0.010,5407.878+,0.004
Cr,1,5407.93,0.03,5407.9030,0.0006
Cs,1,5408.1703,0.0005,5408.17228,0.00006
Fe,1,5408.2778,0.0023,5408.2773,0.0004
Th,2,5408.581,0.004,5408.5801,0.0003
Fe,1,5408.878,0.006,5408.8849,0.0004
Mn,1,5408.92,0.10,5408.923,0.010
Zr,1,5409.12,0.10,,
Cu,1,5409.84,0.14,5409.871,0.026
Ti,1,5410.444,0.004,5410.4433,0.0012
Fe,1,5410.6370,0.0009,5410.6365,0.0004
Ce,2,5410.73,0.10,5410.732+,0.004
Ti,1,5411.109,0.004,5411.1116,0.0018
Cr,1,5411.2873,0.0003,5411.28800,0.00015
Th,2,5411.762,0.004,5411.7610,0.0003
Fe,1,5412.4137,0.0009,5412.4135,0.0004
Na,1,5412.5,0.4,5412.02,0.23
Th,2,5412.509,0.004,5412.5071,0.0003
Cr,1,5414.00,0.03,5414.0052,0.0003
Ti,1,5414.184,0.004,5414.1720,0.0021
Fe,1,5414.290,0.004,5414.2881,0.0007
Th,2,5414.3153,0.0009,5414.31467,0.00021
Fe,1,,,5414.4722,0.0004
Th,2,5414.644,0.004,5414.63152,0.00023
Cs,1,5415.1194,0.0005,5415.12596,0.00006
Ho,2,5415.12,0.10,,
Mn,1,5415.19,0.10,,
Th,2,5415.310,0.004,5415.30243,0.00012
Zr,1,5415.44,0.10,,
Cs,1,5415.79,0.02,5415.80105,0.00015
Na,3,,,5415.96,0.08
Th,2,5416.0298,0.0005,5416.03217,0.00012
Na,2,5416.051,0.003,5416.01,0.15
Na,2,5416.051,0.003,5416.07,0.15
Er,2,5416.14,0.10,,
Fe,1,5416.7043,0.0009,5416.7038,0.0004
V,1,5416.756,0.003,5416.7610,0.0015
Th,2,5416.93833,0.00021,5416.93833,0.00009
Fe,1,5418.5387,0.0023,5418.5423,0.0004
Y,1,5418.5389,0.0010,5418.5397,0.0004
Mo,1,5418.877,0.010,5418.877+,0.004
V,1,5419.589,0.005,5419.5927,0.0012
Ru,1,5420.37,0.10,5420.36+,0.04
Ti,1,5420.695,0.004,5420.6979,0.0018
Th,2,5421.165,0.004,5421.15916,0.00021
Mn,1,5421.87,0.10,5421.861,0.010
Th,2,5422.7156,0.0006,5422.71583,0.00015
V,1,5423.150,0.007,5423.1526,0.0007
Th,2,5423.3430,0.0003,5423.34324,0.00009
Zr,1,5423.37,0.10,,
Cr,1,5423.48,0.06,5423.4505,0.0006
Ti,1,5423.887,0.004,5423.8886,0.0021
Er,2,5424.32,0.10,,
Fe,1,5425.246,0.004,5425.2460,0.0004
V,1,5425.568,0.002,5425.5680,0.0018
Fe,1,5425.5755,0.0009,5425.5751,0.0008
Th,2,5425.6475,0.0005,5425.64937,0.00018
V,1,5425.790,0.005,5425.7902,0.0009
Y,1,5425.8697,0.0010,5425.8688,0.0004
Ba,1,5426.056,0.010,5426.056+,0.004
Ni,1,,,5426.153,0.010
Th,2,5426.309,0.004,5426.30745,0.00018
Th,2,5427.18644,0.00009,5427.18647,0.00009
Ti,1,5427.756,0.004,5427.7577,0.0012
Th,2,5427.7698,0.0009,5427.76991,0.00009
Zr,1,5427.87,0.10,,
Th,2,5428.034,0.004,5428.02816,0.00018
Dy,2,5428.21,0.10,,
Mo,1,5428.384,0.010,5428.384+,0.004
Fe,1,,,5428.6812,0.0004
Ru,1,5429.10,0.10,5429.10+,0.04
Th,2,5429.344,0.004,5429.35208,0.00009
Cr,1,5429.483,0.006,5429.4841,0.0007
Cr,1,5429.483,0.006,5429.4877,0.0003
Th,2,5429.557,0.004,5429.54783,0.00021
Zr,1,5429.93,0.10,,
Th,2,5430.470,0.004,5430.46463,0.00018
Ti,1,5430.649,0.004,5430.6459,0.0018
V,1,5430.975,0.004,5430.9741,0.0007
Fe,1,5431.0133,0.0009,5431.0125,0.0004
Fe,1,5431.2056,0.0009,5431.2054,0.0004
Fe,1,5431.3484,0.0009,5431.3505,0.0004
Th,2,5432.9277,0.0009,5432.92857,0.00012
Nd,2,5433.036,0.010,5433.026+,0.004
Th,2,5433.284,0.004,5433.27604,0.00015
Cu,1,5433.56,0.14,5433.572,0.018
Ti,1,5433.844,0.004,5433.8441,0.0012
Cr,1,5433.86,0.03,5433.8434,0.0005
Mn,1,5434.06,0.10,5434.056,0.010
Th,2,5434.090,0.004,5434.08666,0.00012
Yb,2,5434.22,0.10,,
Fe,1,5434.4576,0.0009,5434.4577,0.0004
Th,2,5434.8022,0.0004,5434.80229,0.00009
Th,2,5435.2108,0.0004,5435.21091,0.00005
Cr,1,5435.37,0.03,5435.375,0.021
Ho,2,5435.90,0.10,,
Fe,1,5436.0340,0.0009,5436.0338,0.0004
Th,2,5436.4566,0.0009,5436.45542,0.00018
Th,2,5436.4566,0.0009,5436.45724,0.00009
Th,2,5436.6336,0.0003,5436.63340,0.00009
O,1,5436.69,0.10,5436.688,0.010
Mo,1,5437.183,0.010,5437.182+,0.004
Th,2,5437.2344,0.0004,5437.23446,0.00007
O,1,5437.29,0.10,5437.286,0.010
Ti,1,5437.350,0.007,5437.327,0.003
Ni,1,5437.38,0.10,5437.369,0.010
Th,2,5437.40340,0.00018,5437.40336,0.00007
Fe,1,5437.8064,0.0024,5437.8056,0.0004
Th,2,5438.0091,0.0006,5438.0105,0.0004
Fe,1,5438.1069,0.0009,5438.0987,0.0004
Ti,1,5438.228,0.004,5438.2270,0.0012
O,1,5438.37,0.10,5438.373,0.010
Fe,1,5438.703,0.004,5438.7065,0.0004
Ba,1,5438.829,0.010,5438.830+,0.004
Th,2,5438.89903,0.00021,5438.89918,0.00009
V,1,5439.168,0.003,5439.1676,0.0012
Mo,1,5439.250,0.010,5439.251+,0.004
Zr,1,5439.27,0.10,,
Cr,1,5439.30,0.03,5439.269,0.006
Y,1,5439.7372,0.0010,5439.7357,0.0004
Ti,1,5439.818,0.004,5439.8156,0.0012
Ti,1,5440.543,0.004,5440.5410,0.0012
Ru,1,5440.730,0.010,,
Fe,1,,,5441.2334,0.0003
Zr,1,5441.92,0.10,,
Ti,1,5442.021,0.004,5442.0214,0.0012
Na,2,5442.71,0.10,,
S,1,,,5442.73+,0.03
Th,2,5442.810,0.004,5442.81560,0.00018
Fe,1,5442.8506,0.0024,5442.8510,0.0004
Cr,1,5443.9195,0.0009,5443.9193,0.0005
Th,2,5444.456,0.004,5444.4551,0.0003
Th,2,5444.63156,0.00021,5444.63159,0.00009
V,1,5444.729,0.004,5444.7281,0.0005
Dy,2,5444.85,0.10,,
Cr,1,5444.85,0.03,5444.8707,0.0004
Th,2,5445.512,0.004,5445.51101,0.00021
Th,2,5445.884,0.004,5445.88632,0.00012
S,1,5445.92,0.10,5446.01,0.10
Th,2,5446.102,0.004,5446.10086,0.00015
Th,2,5446.305,0.004,5446.30234,0.00024
Fe,1,5446.5554,0.0009,5446.5549,0.0004
V,1,5447.37,0.04,5447.3399,0.0009
Th,2,5447.5368,0.0007,5447.53721,0.00009
Fe,1,5448.0963,0.0009,5448.0958,0.0004
Ti,1,5448.133,0.004,5448.1287,0.0012
Ti,1,5448.133,0.004,5448.1394,0.0018
Cr,1,5448.278,0.005,5448.2778,0.0004
Th,2,5448.3213,0.0007,5448.32134,0.00015
Fe,1,5448.3881,0.0009,5448.3861,0.0004
Fe,1,5448.4302,0.0009,5448.4300,0.0004
Th,2,5448.827,0.004,5448.82928,0.00018
Cr,1,5449.01,0.03,5448.996,0.007
Ti,1,5449.426,0.004,5449.4271,0.0018
Cr,1,5449.43,0.03,5449.46,0.03
Zr,1,5450.08,0.10,,
Ti,1,5450.301,0.004,5450.3047,0.0021
Ti,1,5450.425,0.004,5450.4209,0.0018
Ti,1,5450.665,0.004,5450.6642,0.0012
Yb,2,5450.78,0.10,,
Th,2,5450.99330,0.00018,5450.99333,0.00015
Ho,2,5451.3,1.0,,
S,1,5451.33,0.10,5451.33,0.10
Th,2,5451.4120,0.0005,5451.41168,0.00009
Mo,1,5452.017,0.010,5452.016+,0.004
V,1,5452.19,0.02,5452.2057,0.0018
Sr,1,5452.351,0.002,5452.3522,0.0020
Th,2,5452.3995,0.0024,5452.4040,0.0005
Nd,2,5452.63,0.10,5452.624+,0.004
Na,1,5453.4,0.2,5453.87,0.15
Ti,1,5453.450,0.004,5453.4524,0.0012
Fe,1,5453.6031,0.0024,5453.6050,0.0004
Th,2,5453.849,0.004,5453.85246,0.00015
Th,2,5454.033,0.004,5454.04135,0.00018
Ru,1,5454.23,0.10,5454.22+,0.04
Ni,1,,,5454.376,0.010
Ni,1,,,5454.745,0.010
Th,2,5454.871,0.004,5454.8709,0.0003
Ti,1,5455.155,0.004,5455.1579,0.0012
Ho,2,5455.5,1.0,,
Er,2,5455.79,0.10,,
V,1,5456.305,0.004,5456.3066,0.0009
Ru,1,5456.34,0.10,5456.34+,0.04
Th,2,5456.367,0.003,5456.3521,0.0004
Fe,1,5456.9702,0.0009,5456.9696,0.0007
Dy,2,5456.99,0.10,,
Th,2,5457.1251,0.0018,5457.11974,0.00007
Fe,1,5457.1254,0.0009,5457.1251,0.0004
Ti,1,5457.473,0.004,5457.4744,0.0012
Ru,1,5457.65,0.10,5457.64+,0.04
Mo,1,5457.982,0.010,5457.981+,0.004
Ti,1,5458.412,0.004,5458.4098,0.0021
Mn,1,5458.99,0.10,,
Th,2,5459.6114,0.0024,5459.62056,0.00021
V,1,5459.640,0.004,5459.6391,0.0009
Th,2,5459.920,0.004,5459.92666,0.00007
La,2,5460.21,0.10,5460.21+,0.04
Th,2,5460.326,0.004,5460.3399,0.0003
Ti,1,5461.196,0.004,5461.1988,0.0012
Th,2,5461.866,0.004,5461.88218,0.00015
Th,2,5461.973,0.003,5461.97303,0.00015
Ti,1,5462.015,0.004,5462.0155,0.0012
Mo,1,5462.021,0.010,5462.023+,0.004
Fe,1,5462.394,0.004,5462.3899,0.0007
Th,2,5462.6740,0.0009,5462.67469,0.00015
Th,2,5462.917,0.003,5462.9188,0.0009
Fe,1,5463.0672,0.0024,5463.0667,0.0004
Th,2,5463.2536,0.0003,5463.25346,0.00007
Th,2,5463.408,0.004,5463.40807,0.00015
Cs,1,5463.4409,0.0005,5463.44155,0.00006
Tm,2,5463.47,0.10,,
Cr,1,5463.93,0.03,5463.9258,0.0007
Er,2,5463.95,0.10,,
Ni,1,,,5464.011,0.010
Th,2,5464.13096,0.00024,5464.13090,0.00009
Cr,1,5464.43,0.03,5464.3795,0.0007
Fe,1,5464.4772,0.0009,5464.4773,0.0004
Cu,1,5464.656,0.009,5464.642,0.018
Fe,1,5464.7941,0.0009,5464.7932,0.0004
Cr,1,5465.481,0.004,5465.4823,0.0005
Fe,1,5465.7977,0.0009,5465.7980,0.0004
La,2,5465.90,0.10,5465.89+,0.04
Cr,1,5465.91,0.03,5465.9705,0.0006
Th,2,5466.306,0.004,5466.30580,0.00021
Ag,1,5467.016,0.010,5467.0041,0.0006
Tm,2,5467.06,0.10,,
Mo,1,5467.081,0.010,5467.081+,0.004
Ti,1,5467.290,0.004,5467.2916,0.0012
Cs,1,5467.4632,0.0005,5467.46269,0.00015
Ti,1,5467.525,0.004,5467.5266,0.0021
Y,1,5467.7607,0.0010,5467.7624,0.0004
Th,2,5467.785,0.004,5467.78853,0.00009
Fe,1,5467.9148,0.0009,5467.9143,0.0004
Na,1,5467.9,0.5,5468.0,0.3
Y,1,5467.986,0.010,5467.983,0.004
Th,2,5468.204,0.004,5468.20444,0.00018
Fe,1,5468.5066,0.0009,5468.5061,0.0004
V,1,5469.313,0.007,5469.3109,0.0007
Ni,1,,,5469.624,0.010
Cr,1,5469.69,0.03,5469.6902,0.0007
Ti,1,5469.881,0.004,5469.8817,0.0015
Ce,2,5469.89,0.10,5469.891+,0.004
Y,1,5469.990,0.010,5469.9894,0.0004
Th,2,5470.260,0.003,5470.25869,0.00015
Dy,2,5470.62,0.10,,
Y,1,5470.624,0.010,5470.6250,0.0004
Th,2,5471.228,0.004,5471.22841,0.00021
Fe,1,5471.6136,0.0024,5471.6122,0.0004
Ti,1,5471.974,0.004,5471.9784,0.0012
Mn,1,5472.16,0.10,,
Th,2,5472.457,0.004,5472.45476,0.00015
Ti,1,5472.717,0.004,5472.7123,0.0012
Th,2,5472.9092,0.0009,5472.90941,0.00018
Th,2,5472.9092,0.0009,5472.90963,0.00021
Ag,1,5473.075,0.010,5473.0632,0.0006
Ce,2,5473.81,0.10,5473.800+,0.004
Ti,1,5474.208,0.004,5474.2103,0.0012
Fe,1,5474.2294,0.0009,5474.2292,0.0004
Fe,1,5474.685,0.004,5474.6832,0.0004
Th,2,5474.9295,0.0005,5474.92939,0.00018
Ti,1,5475.065,0.004,5475.0627,0.0024
V,1,5475.123,0.004,5475.1191,0.0009
Th,2,5475.137,0.004,5475.13744,0.00021
Fe,1,5475.4211,0.0009,5475.4215,0.0004
Th,2,5475.646,0.004,5475.6424,0.0004
Ti,1,5475.744,0.004,5475.7442,0.0012
Ti,1,5475.972,0.004,5475.9729,0.0018
V,1,5475.9936,,5475.9936,0.0012
Th,2,5476.38627,0.00024,5476.38606,0.00007
Zr,1,5476.44,0.10,,
Ru,1,5476.708,0.010,,
Ag,1,5476.897,0.010,5476.89752,0.00012
Ni,1,,,5476.951,0.010
U,2,5477.22,0.10,,
Mo,1,5477.413,0.010,5477.412+,0.004
Cr,1,5477.55,0.03,5477.5518,0.0005
Fe,1,5477.8099,0.0009,5477.8105,0.0007
Fe,1,5478.0857,0.0009,5478.0860,0.0004
Lu,2,5478.21,0.10,5478.20+,0.04
Ni,1,5478.43,0.10,5478.425,0.010
Th,2,5478.5760,0.0007,5478.57579,0.00015
Zr,1,5478.92,0.10,,
Fe,1,,,5478.9264,0.0004
Er,2,5478.99,0.10,,
Ti,1,5479.215,0.004,5479.2167,0.0012
Th,2,5479.654,0.003,5479.6562,0.0003
Zr,1,5479.85,0.10,,
Fe,1,5479.9775,0.0024,5479.9772,0.0004
Yb,2,5480.02,0.10,,
Ru,1,5480.938,0.010,,
Th,2,5481.2085,0.0009,5481.2080,0.0003
Ti,1,5481.700,0.004,5481.7051,0.0012
U,2,5481.78,0.10,,
Ru,1,5481.82,0.10,5481.83+,0.04
Cr,1,5482.0291,0.0006,5482.0294,0.0004
La,2,5482.25,0.10,5482.24+,0.04
Zr,1,5482.35,0.10,,
Fe,1,5482.3833,0.0009,5482.3831,0.0004
Sr,1,5482.388,0.002,5482.3867,0.0022
Th,2,5482.4137,0.0005,5482.41375,0.00009
Cr,1,5482.53,0.03,5482.5504,0.0005
Zr,1,5482.68,0.10,,
U,2,5482.72,0.10,,
Fe,1,5482.7657,0.0009,5482.7657,0.0004
Mn,1,5482.92,0.10,,
Ti,1,5482.932,0.004,5482.9335,0.0012
Fe,1,5482.9614,0.0009,5482.9611,0.0004
Th,2,5483.0044,0.0006,5483.00463,0.00021
Ti,1,5483.382,0.004,5483.3839,0.0012
Fe,1,5483.422,0.005,5483.4187,0.0010
Th,2,5483.4862,0.0007,5483.48595,0.00018
La,2,5483.79,0.10,5483.79+,0.04
Th,2,5483.9275,0.0009,5483.9269,0.0018
Th,2,5483.9275,0.0009,5483.92697,0.00018
V,1,5483.975,0.005,5483.9663,0.0015
Fe,1,5483.984,0.005,5483.9832,0.0010
U,2,5484.05,0.10,,
Fe,1,5484.6220,0.0009,5484.6220,0.0004
Th,2,5484.8742,0.0018,5484.86860,0.00018
Th,2,5485.6447,0.0006,5485.64371,0.00018
Th,2,5485.6706,0.0003,5485.67050,0.00007
Th,2,5485.792,0.004,5485.7874,0.0003
Ru,1,5485.84,0.10,5485.85+,0.04
Th,2,5486.139,0.004,5486.12934,0.00018
Ru,1,5486.16,0.10,5486.17+,0.04
Cr,1,5486.71,0.03,5486.7051,0.0012
Nd,2,5487.223,0.010,5487.220+,0.004
Cr,1,5487.24,0.03,5487.1937,0.0005
Na,2,5487.42,0.10,,
Er,2,5487.49,0.10,,
Ti,1,5487.612,0.004,5487.6065,0.0021
Zr,1,5487.61,0.10,,
Sr,1,5487.660,0.002,5487.659,0.003
Th,2,5487.705,0.003,5487.70618,0.00024
Cr,1,5488.034,0.004,5488.0415,0.0021
Th,2,5488.442,0.004,5488.44649,0.00024
Th,2,5488.658,0.004,5488.6564,0.0003
Fe,1,5488.6694,0.0024,5488.6700,0.0004
V,1,5488.750,0.003,5488.7468,0.0012
Fe,1,5488.9194,0.0024,5488.9189,0.0007
Th,2,5488.951,0.004,5488.9517,0.0003
Fe,1,5489.007,0.005,5489.0056,0.0004
Fe,1,5489.046,0.005,5489.0475,0.0004
Ti,1,5489.129,0.008,5489.1168,0.0021
Fe,1,,,5489.2626,0.0004
Fe,1,5489.2704,0.0009,5489.2693,0.0007
V,1,5489.438,0.002,5489.4374,0.0009
Ti,1,5489.718,0.004,5489.7162,0.0012
Th,2,5490.043,0.004,5490.0333,0.0003
Th,2,5490.1538,0.0003,5490.15369,0.00005
Th,2,5490.4506,0.0003,5490.45020,0.00007
Cr,1,5490.56,0.03,5490.5186,0.0003
Th,2,5490.977,0.004,5490.98439,0.00018
Th,2,5491.148,0.004,5491.14801,0.00012
Ti,1,5491.398,0.004,5491.399,0.003
V,1,5491.473,0.002,5491.4746,0.0009
Na,7,,,5490,40
Ti,1,5491.673,0.004,5491.6731,0.0012
Sb,1,5491.7506,0.0010,5491.7506,0.0010
Mo,1,5491.796,0.010,5491.797+,0.004
Cr,1,5491.83,0.03,5491.8761,0.0006
Ti,1,5492.374,0.004,5492.3710,0.0012
Th,2,5493.058,0.003,5493.0586,0.0003
V,1,5493.091,0.003,5493.0900,0.0009
Ti,1,5493.183,0.004,5493.1814,0.0024
Fe,1,5493.3569,0.0024,5493.3600,0.0004
Th,2,5493.5903,0.0009,5493.58925,0.00024
Th,2,5493.5903,0.0009,5493.5924,0.0006
Fe,1,5493.6041,0.0009,5493.6012,0.0004
Mo,1,5493.683,0.010,5493.683+,0.004
U,2,5494.48,0.10,,
Y,1,5494.674,0.010,5494.6752,0.0007
Si,1,5494.76,0.10,,
Fe,1,,,5494.8479,0.0004
La,2,5494.98,0.10,5494.98+,0.04
Fe,1,5495.0248,0.0009,5495.0251,0.0004
Mo,1,5495.289,0.010,5495.291+,0.004
Th,2,5495.457,0.004,5495.45056,0.00021
Ti,1,5495.647,0.004,5495.6497,0.0015
Cr,1,5495.69,0.03,5495.6830,0.0009
Fe,1,5495.989,0.006,5495.9894,0.0007
Th,2,5496.0882,0.0005,5496.08788,0.00024
Ti,1,5496.247,0.004,5496.2347,0.0012
Ni,1,,,5496.407,0.010
Y,1,5497.107,0.010,5497.1082,0.0004
V,1,5497.178,0.007,5497.1768,0.0009
Th,2,5497.3352,0.0005,5497.33512,0.00009
V,1,5497.536,0.005,5497.5349,0.0012
V,1,5497.7335,,5497.7334,0.0006
Th,2,5497.991,0.004,5497.99712,0.00007
Ru,1,5498.22,0.10,5498.23+,0.04
V,1,5498.355,0.006,5498.3462,0.0012
Er,2,5498.97,0.10,,
Fe,1,5499.0430,0.0009,5499.0431,0.0004
Cr,1,5499.19,0.03,5499.238,0.009
Th,2,5499.2811,0.0009,5499.28109,0.00009
Ti,1,5499.469,0.008,5499.4753,0.0012
S,1,5499.71,0.10,5499.71,0.10
Fe,1,5500.006,0.005,5500.0097,0.0010
Mo,1,5500.019,0.010,5500.018+,0.004
Ni,1,,,5500.934,0.010
Tm,2,5501.83,0.10,,
V,1,5502.35,0.02,5502.3436,0.0012
Ru,1,5502.55,0.10,5502.57+,0.04
Fe,1,5502.9933,0.0009,5502.9931,0.0004
Mo,1,5503.066,0.010,5503.067+,0.004
S,1,5503.07,0.10,5503.07,0.10
Th,2,5503.071,0.004,5503.08036,0.00015
Mo,1,5503.400,0.010,5503.400+,0.004
Th,2,5503.4725,0.0003,5503.47199,0.00009
Th,2,5503.563,0.004,5503.57305,0.00018
Zr,1,5503.65,0.10,,
Cs,1,5504.4131,0.0005,5504.41363,0.00006
Th,2,5504.7946,0.0015,5504.7985,0.0005
Y,1,5504.9928,0.0010,5504.9949,0.0007
Mo,1,5505.07,0.10,,
Cr,1,5505.25,0.04,5505.2147,0.0007
Cr,1,5505.25,0.04,5505.2307,0.0004
Cs,1,5505.3814,0.0005,5505.38535,0.00015
Ti,1,5505.426,0.004,5505.4244,0.0021
Ni,1,,,5505.623,0.010
Sr,1,5505.713,0.002,5505.710,0.003
Mn,1,,,5505.747,0.010
Fe,1,5505.891,0.005,5505.8906,0.0007
V,1,5506.390,0.002,5506.3914,0.0015
Th,2,5506.493,0.004,5506.4929,0.0003
Cr,1,5506.53,0.03,5506.5722,0.0006
V,1,5507.391,0.004,5507.3919,0.0012
Mn,1,5507.40,0.10,,
Fe,1,5507.4109,0.0024,5507.4104,0.0004
Th,2,5507.864,0.004,5507.85885,0.00015
Mo,1,5508.023,0.010,5508.023+,0.004
V,1,5508.163,0.003,5508.1651,0.0009
Fe,1,5508.3086,0.0009,5508.3083,0.0004
S,1,5508.54,0.10,5508.53,0.10
Cr,1,5508.98,0.03,5508.9713,0.0012
V,1,5509.293,0.002,5509.2898,0.0007
Zr,1,5509.40,0.10,,
Th,2,5509.4853,0.0006,5509.48538,0.00007
Fe,1,5509.938,0.005,5509.9388,0.0010
V,1,5510.140,0.004,5510.1382,0.0007
Pr,2,5510.32,0.10,,
Pr,2,5510.68,0.10,5510.68+,0.04
Mg,1,5511.128,0.010,5511.128,0.010
Mg,1,5511.128,0.010,5511.128,0.010
Mg,1,5511.128,0.010,5511.128,0.010
Cr,1,5511.47,0.03,5511.441,0.009
Ni,1,5511.53,0.10,,
Mn,1,,,5511.722,0.010
Th,2,5512.2142,0.0004,5512.21414,0.00012
Ru,1,5512.24,0.10,5512.25+,0.04
V,1,5512.707,0.002,5512.7068,0.0012
Cr,1,5513.00,0.03,5513.0107,0.0009
Pr,2,5513.16,0.10,5513.16+,0.04
Ti,1,5513.309,0.004,5513.3098,0.0012
Cr,1,5513.58,0.03,5513.5831,0.0004
Ce,2,5513.61,0.10,5513.595+,0.004
Th,2,5513.722,0.004,5513.73313,0.00015
Fe,1,5513.7876,0.0024,5513.7889,0.0004
Ru,1,5513.90,0.10,5513.92+,0.04
Fe,1,5513.933,0.005,5513.9330,0.0004
Ti,1,5514.055,0.004,5514.0549,0.0012
O,1,,,5514.133,0.010
O,1,,,5514.133,0.010
Cr,1,5514.23,0.03,5514.2451,0.0009
O,1,,,5514.303,0.010
O,1,,,5514.303,0.010
O,1,,,5514.303,0.010
O,1,,,5514.351,0.010
Ca,1,5514.51,0.10,5514.512,0.010
Cr,1,5514.91,0.03,5514.86,0.05
Pr,2,5515.11,0.10,5515.09+,0.04
Y,1,5515.1792,0.0010,5515.1786,0.0004
Th,2,5515.403,0.004,5515.40254,0.00018
Ti,1,5515.875,0.004,5515.8753,0.0012
Th,2,5515.970,0.004,5515.9662,0.0003
Ti,1,5516.064,0.004,5516.0654,0.0012
Th,2,5516.275,0.004,5516.2654,0.0003
Ni,1,,,5516.325,0.010
V,1,5516.597,0.004,5516.5976,0.0012
Pr,2,5516.65,0.10,5516.68+,0.04
V,1,5516.863,0.004,5516.8609,0.0012
Dy,2,5516.94,0.10,,
Ho,2,5517.09,0.10,,
Ho,2,5517.98,0.10,,
Mn,1,5518.30,0.10,5518.307,0.010
V,1,5518.34,0.02,5518.3155,0.0012
Fe,1,5518.598,0.005,5518.6006,0.0004
Zr,1,5518.64,0.10,,
V,1,5518.732,0.003,5518.7321,0.0012
Si,1,5519.068,0.010,,
Th,2,5519.3281,0.0008,5519.32795,0.00018
Ru,1,5519.39,0.10,5519.39+,0.04
Zr,1,5519.58,0.10,,
Ti,1,5519.591,0.004,5519.5917,0.0012
Th,2,5520.2572,0.0008,5520.25731,0.00012
Cr,1,5520.53,0.03,5520.4936,0.0009
Ba,1,5520.577,0.010,5520.577+,0.004
Pr,2,5520.91,0.10,5520.92+,0.04
Y,1,5521.4136,0.0010,5521.4121,0.0004
Mo,1,5521.567,0.010,5521.567+,0.004
Pr,2,5521.84,0.10,,
Th,2,5521.8754,0.0009,5521.87583,0.00005
Mo,1,5522.174,0.010,5522.173+,0.004
Th,2,5522.287,0.004,5522.2951,0.0003
Na,2,5522.64,0.10,,
Y,1,5523.2284,0.0010,5523.2290,0.0004
Sr,1,5523.299,0.002,5523.302,0.003
Ru,1,5523.31,0.10,5523.33+,0.04
Fe,1,5523.9801,0.0009,5523.9799,0.0004
Pr,2,5524.32,0.10,5524.36+,0.04
Th,2,5524.965,0.004,5524.96087,0.00018
Fe,1,5525.527,0.005,5525.5252,0.0010
Na,3,,,5525.56,0.09
Th,2,5525.7533,0.0004,5525.75308,0.00012
Th,2,5526.1651,0.0004,5526.16484,0.00009
Fe,1,5527.0787,0.0009,5527.0782,0.0004
Pr,2,5527.44,0.10,5527.45+,0.04
