element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Th,2,5384.0356,0.0003,5384.03559,0.00009
Ti,1,5384.629,0.003,5384.6299,0.0012
V,1,5385.132,0.002,5385.1320,0.0005
Zr,1,5385.14,0.10,,
Th,2,5385.164,0.003,5385.16149,0.00023
Cr,1,5385.30,0.06,5385.2797,0.0005
Fe,1,5385.575,0.004,5385.5785,0.0004
Dy,2,5385.63,0.10,,
Th,2,5385.731,0.004,5385.72967,0.00015
Ru,1,5385.88,0.10,5385.88+,0.04
Nd,2,5385.90,0.10,5385.888+,0.004
U,2,5386.19,0.10,,
Fe,1,5386.3337,0.0023,5386.3329,0.0004
Th,2,5386.4200,0.0009,5386.42159,0.00012
Th,2,5386.476,0.004,5386.47040,0.00020
Zr,1,5386.65,0.10,,
Th,2,5386.7885,0.0005,5386.78968,0.00005
Fe,1,5386.959,0.006,5386.9601,0.0004
Cr,1,5386.9674,0.0006,5386.9675,0.0003
Fe,1,5387.480,0.004,5387.4830,0.0004
Cr,1,5387.5617,0.0006,5387.5621,0.0005
V,1,5388.286,0.003,5388.2870,0.0003
Ni,1,,,5388.344,0.010
Y,1,5388.3878,0.0010,5388.3875,0.0006
Mn,1,,,5388.544,0.010
Mo,1,5388.665,0.010,5388.667+,0.004
Th,2,5388.9061,0.0006,5388.90602,0.00012
Th,2,5389.126,0.004,5389.1282,0.0003
Ti,1,5389.164,0.003,5389.156,0.004
Ti,1,5389.164,0.003,5389.1692,0.0012
Th,2,5389.4566,0.0007,5389.45783,0.00012
Fe,1,5389.4788,0.0009,5389.4783,0.0004
Dy,2,5389.58,0.10,,
Yb,2,5389.84,0.10,,
Th,2,5389.913,0.004,5389.90871,0.00021
Ti,1,5389.988,0.003,5389.9886,0.0012
Th,2,5390.197,0.004,5390.19697,0.00023
Cr,1,5390.3803,0.0006,5390.3789,0.0015
Th,2,5390.46715,0.00012,5390.46707,0.00006
Ti,1,5390.494,0.003,5390.4873,0.0012
Th,2,5390.658,0.004,5390.6637,0.0003
Y,1,5390.8129,0.0010,5390.8120,0.0004
Ti,1,5391.058,0.003,5391.0570,0.0015
Th,2,5391.0761,0.0004,5391.07596,0.00006
Zr,1,5391.18,0.10,,
Fe,1,5391.246,0.006,5391.2489,0.0007
Cr,1,5391.34,0.03,5391.3397,0.0005
Fe,1,5391.4582,0.0009,5391.4588,0.0004
Cu,1,5391.62,0.14,5391.680,0.049
Fe,1,5391.6222,0.0009,5391.6231,0.0007
Th,2,5391.942,0.004,5391.9397,0.0003
Tm,2,5391.96,0.10,,
Ni,1,,,5392.331,0.010
Th,2,5392.3577,0.0009,5392.35778,0.00015
Th,2,5392.57275,0.00015,5392.57268,0.00006
V,1,5392.798,0.004,5392.8034,0.0009
Th,2,5393.1126,0.0006,5393.11270,0.00015
Fe,1,5393.1673,0.0009,5393.1670,0.0004
V,1,5393.265,0.004,5393.2633,0.0007
Ce,2,5393.40,0.10,5393.392+,0.004
Ti,1,5394.159,0.003,5394.1582,0.0017
Mo,1,5394.506,0.010,5394.507+,0.004
Mn,1,5394.67,0.10,5394.677,0.010
Fe,1,5395.218,0.004,5395.2169,0.0004
Pd,1,5395.2201,0.0010,5395.2204,0.0010
Er,2,5395.87,0.10,,
Zr,1,5395.88,0.10,,
Th,2,5396.539,0.003,5396.53811,0.00018
Ti,1,5396.596,0.003,5396.5931,0.0009
Th,2,5396.705,0.004,5396.71382,0.00021
Th,2,5396.902,0.003,5396.9057,0.0003
Ti,1,5397.062,0.003,5397.0630,0.0012
Fe,1,5397.1276,0.0009,5397.1274,0.0004
Fe,1,5397.2019,0.0023,5397.1982,0.0004
Mo,1,5397.368,0.010,5397.368+,0.004
Fe,1,5397.6175,0.0009,5397.6178,0.0004
V,1,5397.843,0.003,5397.8454,0.0005
Fe,1,5398.2791,0.0009,5398.2786,0.0004
Cu,1,5398.408,0.021,5398.411,0.015
Fe,1,5398.815,0.004,5398.8121,0.0009
V,1,5398.907,,5398.9091,0.0006
Mn,1,5399.49,0.10,,
Dy,2,5399.93,0.10,,
Mo,1,5400.459,0.010,5400.460+,0.004
Tm,2,5400.46,0.10,,
Fe,1,5400.5018,0.0009,5400.5007,0.0004
Cr,1,5400.5967,0.0003,5400.59689,0.00021
Fe,1,5400.6555,0.0023,5400.6547,0.0004
Th,2,5400.865,0.004,5400.86424,0.00012
Ru,1,5401.047,0.010,,
Fe,1,5401.2686,0.0023,5401.2660,0.0007
Ti,1,5401.380,0.004,5401.3787,0.0012
Ru,1,5401.39,0.10,5401.40+,0.04
Th,2,5401.733,0.003,5401.7297,0.0004
Y,1,5401.8770,0.0010,5401.8766,0.0004
V,1,5401.922,0.002,5401.9224,0.0012
Ti,1,5402.705,0.004,5402.7028,0.0012
Th,2,5402.780,0.004,5402.7792,0.0004
Fe,1,5403.8212,0.0009,5403.8218,0.0004
Ti,1,5404.014,0.004,5404.0117,0.0018
Fe,1,5404.1168,0.0009,5404.1169,0.0004
Fe,1,5404.1513,0.0009,5404.1508,0.0004
Cr,1,5404.993,0.004,5404.9913,0.0005
Zr,1,5405.13,0.10,,
Th,2,5405.2097,0.0007,5405.20950,0.00008
Fe,1,5405.3496,0.0023,5405.3497,0.0004
Mo,1,5405.773,0.010,5405.773+,0.004
Fe,1,5405.7749,0.0009,5405.7743,0.0004
Tm,2,5405.98,0.10,,
Ti,1,5406.185,0.004,5406.1801,0.0020
Th,2,5406.3348,0.0009,5406.33382,0.00018
Mo,1,5406.376,0.010,5406.375+,0.004
Cr,1,5406.43,0.03,5406.4000,0.0006
Cs,1,5406.6672,0.0005,5406.66919,0.00006
Fe,1,5406.7747,0.0023,5406.7742,0.0004
Th,2,5407.078,0.004,5407.0769,0.0003
Fe,1,5407.375,0.006,5407.3816,0.0004
Mn,1,5407.42,0.10,5407.419,0.010
Zr,1,5407.62,0.10,,
Cu,1,5408.34,0.14,5408.367,0.026
Ti,1,5408.940,0.004,5408.9396,0.0012
Fe,1,5409.1332,0.0009,5409.1327,0.0004
Ce,2,5409.23,0.10,5409.229+,0.004
Ti,1,5409.605,0.004,5409.6078,0.0018
Cr,1,5409.7834,0.0003,5409.78408,0.00015
Th,2,5410.258,0.004,5410.2570,0.0003
Fe,1,5410.9095,0.0009,5410.9092,0.0004
Na,1,5411.0,0.4,5410.51,0.23
Th,2,5411.005,0.004,5411.0028,0.0003
Cr,1,5412.50,0.03,5412.5005,0.0003
Ti,1,5412.679,0.004,5412.6673,0.0021
Fe,1,5412.785,0.004,5412.7833,0.0007
Th,2,5412.8106,0.0009,5412.80994,0.00021
Fe,1,,,5412.9674,0.0004
Th,2,5413.139,0.004,5413.12670,0.00024
Cs,1,5413.6145,0.0005,5413.62102,0.00006
Ho,2,5413.62,0.10,,
Mn,1,5413.69,0.10,,
Th,2,5413.805,0.004,5413.79743,0.00012
Zr,1,5413.93,0.10,,
Cs,1,5414.28,0.02,5414.29592,0.00015
Th,2,5414.5246,0.0005,5414.52698,0.00012
Er,2,5414.63,0.10,,
Fe,1,5415.1989,0.0009,5415.1984,0.0004
V,1,5415.251,0.003,5415.2556,0.0015
Th,2,5415.43290,0.00021,5415.43290,0.00009
Fe,1,5417.0328,0.0023,5417.0364,0.0004
Y,1,5417.0330,0.0010,5417.0338,0.0004
Mo,1,5417.371,0.010,5417.371+,0.004
V,1,5418.083,0.005,5418.0866,0.0012
Ru,1,5418.86,0.10,5418.86+,0.04
Ti,1,5419.189,0.004,5419.1915,0.0018
Th,2,5419.658,0.004,5419.65260,0.00021
Mn,1,5420.36,0.10,5420.355,0.010
Th,2,5421.2086,0.0006,5421.20886,0.00015
V,1,5421.643,0.007,5421.6455,0.0007
Th,2,5421.8359,0.0003,5421.83610,0.00009
Zr,1,5421.86,0.10,,
Cr,1,5421.97,0.06,5421.9434,0.0006
Ti,1,5422.380,0.004,5422.3813,0.0021
Er,2,5422.81,0.10,,
Fe,1,5423.738,0.004,5423.7383,0.0004
V,1,5424.060,0.002,5424.0603,0.0018
Fe,1,5424.0678,0.0009,5424.0673,0.0008
Th,2,5424.1397,0.0005,5424.14162,0.00018
V,1,5424.282,0.005,5424.2825,0.0009
Y,1,5424.3619,0.0010,5424.3610,0.0004
Ba,1,5424.548,0.010,5424.548+,0.004
Ni,1,,,5424.645,0.010
Th,2,5424.801,0.004,5424.79952,0.00018
Th,2,5425.67827,0.00009,5425.67830,0.00009
Ti,1,5426.248,0.004,5426.2494,0.0012
Th,2,5426.2615,0.0009,5426.26159,0.00009
Zr,1,5426.36,0.10,,
Th,2,5426.526,0.004,5426.51977,0.00018
Dy,2,5426.70,0.10,,
Mo,1,5426.876,0.010,5426.876+,0.004
Fe,1,,,5427.1727,0.0004
Ru,1,5427.59,0.10,5427.59+,0.04
Th,2,5427.835,0.004,5427.84334,0.00009
Cr,1,5427.974,0.006,5427.9753,0.0007
Cr,1,5427.974,0.006,5427.9790,0.0003
Th,2,5428.048,0.004,5428.03903,0.00021
Zr,1,5428.42,0.10,,
Th,2,5428.961,0.004,5428.95559,0.00018
Ti,1,5429.140,0.004,5429.1368,0.0018
V,1,5429.466,0.004,5429.4650,0.0007
Fe,1,5429.5041,0.0009,5429.5033,0.0004
Fe,1,5429.6964,0.0009,5429.6962,0.0004
Fe,1,5429.8391,0.0009,5429.8412,0.0004
