element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Ti,1,4000.0430,0.0019,4000.0442,0.0005
V,1,4000.079,0.003,4000.0795,0.0005
Pr,2,4000.17,0.10,4000.173+,0.023
Fe,1,4000.252,0.003,4000.25248,0.00023
Dy,2,4000.45,0.10,4000.4502+,0.0023
Fe,1,4000.4570,0.0005,4000.45722,0.00023
Nd,2,4000.493,0.010,4000.4896+,0.0023
Cr,1,4000.60,0.03,4000.5939,0.0018
Mn,1,,,4001.05,0.10
Gd,2,4001.26,0.10,,
Cr,1,4001.4372,0.0006,4001.4374,0.0006
Ce,2,4001.56,0.10,4001.5631+,0.0023
V,1,4001.6611,,4001.6611,0.0004
Fe,1,4001.6615,0.0005,4001.66094,0.00023
Th,2,4001.73375,0.00021,4001.73377,0.00005
Mn,1,,,4002.02,0.10
V,1,4002.030,0.002,4002.0307,0.0010
Th,2,4002.1060,0.0022,4002.10691,0.00010
V,1,4002.463,0.003,4002.4633,0.0008
Ti,1,4002.4681,0.0019,4002.4694,0.0005
Ho,2,4002.59,0.10,,
Fe,1,4002.6606,0.0024,4002.6607,0.0004
Cu,1,4003.028,0.009,4003.025,0.006
Th,2,4003.10552,0.00016,4003.10545,0.00008
V,1,4003.161,0.003,4003.1613,0.0006
Mn,1,,,4003.260,0.010
Th,2,4003.30850,0.00011,4003.30857,0.00007
Th,2,4003.3883,0.0005,4003.38919,0.00019
Sm,2,4003.46,0.10,,
V,1,4003.524,0.002,4003.5241,0.0003
Eu,2,4003.71,0.10,,
Fe,1,4003.7616,0.0013,4003.7614,0.0004
Ce,2,4003.77,0.10,4003.7675+,0.0023
Ti,1,4003.7970,0.0019,4003.7963,0.0005
Cr,1,4003.9123,0.0060,4003.9110,0.0006
Nd,2,4004.02,0.10,4004.0050+,0.0023
U,2,4004.06,0.10,,
V,1,4004.304,0.002,4004.3046,0.0010
Cr,1,4004.697,0.020,4004.679,0.010
Pr,2,4004.70,0.10,4004.702+,0.023
Fe,1,4004.8272,0.0005,4004.8270,0.0004
Gd,2,4004.94,0.10,,
Fe,1,4004.9782,0.0005,4004.9780,0.0004
Fe,1,4005.2417,0.0005,4005.24148,0.00023
Fe,1,4005.3858,0.0013,4005.38478,0.00023
Fe,1,4005.482,0.003,4005.4800,0.0004
Th,2,4005.52897,0.00019,4005.52848,0.00008
Th,2,4005.57410,0.00019,4005.57431,0.00007
Ce,2,4005.64,0.10,4005.6334+,0.0023
Ti,1,4005.9599,0.0019,4005.9600,0.0005
Fe,1,4006.1574,0.0024,4006.15684,0.00023
Fe,1,4006.3105,0.0005,4006.31097,0.00023
Th,2,4006.38050,0.00016,4006.38079,0.00008
Ti,1,4006.4616,0.0019,4006.4595,0.0010
Fe,1,4006.6240,0.0005,4006.6241,0.0004
Th,2,4006.8739,0.0022,4006.87517,0.00011
Th,2,4006.9363,0.0018,4006.94372,0.00018
V,1,4007.013,0.003,4007.0116,0.0004
Th,2,4007.01867,0.00013,4007.01877,0.00008
Mn,1,,,4007.036,0.010
Th,2,4007.0614,0.0003,4007.06192,0.00005
Ti,1,4007.1891,0.0019,4007.1902,0.0005
Fe,1,4007.2718,0.0005,4007.27179,0.00023
Nd,2,4007.43,0.10,4007.4302+,0.0023
Cr,1,4007.43,0.03,4007.4287,0.0003
Sm,2,4007.48,0.10,,
Ce,2,4007.59,0.10,4007.5859+,0.0023
Zr,1,4007.60,0.10,,
Mn,1,,,4008.016,0.010
Ti,1,4008.0533,0.0019,4008.0532,0.0005
Er,2,4008.18,0.10,,
Pr,2,4008.69,0.10,4008.691+,0.023
Th,2,4008.7431,0.0023,4008.74563,0.00023
Na,1,4008.8,0.2,4008.92,0.11
Gd,2,4008.91,0.10,,
Ti,1,4008.9273,0.0019,4008.9274,0.0006
Er,2,4009.16,0.10,,
He,1,,,4009.256516,0.000020
Cr,1,4009.411,0.020,4009.4100,0.0003
Th,2,4009.5357,0.0006,4009.53595,0.00010
Fe,1,4009.542,0.003,4009.54312,0.00023
Ti,1,4009.6565,0.0019,4009.6568,0.0006
Fe,1,4009.7125,0.0005,4009.7125,0.0004
V,1,4009.782,0.003,4009.7818,0.0011
Ni,1,,,4010.010,0.010
Cu,1,4010.043,0.021,4010.073,0.034
Mo,1,4010.126,0.010,4010.1270+,0.0023
Mo,1,4010.126,0.010,4010.1260+,0.0023
Fe,1,4010.1761,0.0024,4010.17377,0.00023
Th,2,4010.3259,0.0023,4010.3229,0.0010
Th,2,4010.4265,0.0006,4010.42588,0.00011
Th,2,4010.5332,0.0005,4010.53337,0.00007
Pr,2,4010.60,0.10,,
Fe,1,4010.748,0.003,4010.7462,0.0004
Sr,1,4010.806,0.005,4010.805,0.005
Cr,1,4010.836,0.020,4010.837,0.008
Cu,1,4010.836,0.021,4010.852,0.018
Cr,1,4010.983,0.030,4010.948,0.019
Cr,1,4010.983,0.030,4010.975,0.008
Th,2,4010.9840,0.0023,4010.98605,0.00013
Dy,2,4011.29,0.10,,
V,1,4011.305,0.002,4011.3043,0.0003
Fe,1,4011.4072,0.0005,4011.40701,0.00023
Mn,1,,,4011.567,0.010
Eu,2,4011.69,0.10,,
Fe,1,4011.7110,0.0013,4011.71125,0.00023
Th,2,4011.7750,0.0023,4011.77379,0.00013
Mn,1,,,4011.900,0.010
Cr,1,4012.00,0.06,4011.9945,0.0005
Fe,1,4012.1488,0.0013,4012.1492,0.0004
Nd,2,4012.250,0.010,4012.2432+,0.0023
Zr,1,4012.25,0.10,,
Ce,2,4012.39,0.10,4012.3859+,0.0023
Cr,1,4012.4696,0.0009,4012.4694,0.0008
V,1,4012.495,0.005,4012.4878,0.0003
Nd,2,4012.70,0.10,4012.6974+,0.0023
Ti,1,4012.7913,0.0019,4012.7911,0.0005
Ti,1,4013.241,0.004,4013.2496,0.0005
Th,2,4013.2601,0.0005,4013.25955,0.00021
Ti,1,4013.5833,0.0019,4013.5838,0.0005
Fe,1,4013.6392,0.0013,4013.63855,0.00023
Fe,1,4013.7815,0.0005,4013.78165,0.00023
Gd,2,4013.80,0.10,,
Fe,1,4013.8246,0.0005,4013.82435,0.00023
Ho,2,4014.20,0.10,,
Fe,1,4014.2649,0.0013,4014.26533,0.00023
Cr,1,4014.44,0.03,4014.4135,0.0003
Th,2,4014.51413,0.00018,4014.51411,0.00005
Fe,1,4014.5306,0.0005,4014.53083,0.00023
Cr,1,4014.6654,0.0015,4014.6657,0.0008
Dy,2,4014.70,0.10,,
Fe,1,4014.878,0.003,4014.8799,0.0004
Ti,1,4014.8991,0.0019,4014.8975,0.0013
Ce,2,4014.90,0.10,4014.8971+,0.0023
Th,2,4014.9371,0.0023,4014.93993,0.00021
V,1,4015.067,0.002,4015.0690,0.0006
Th,2,4015.1421,0.0023,4015.14384,0.00013
V,1,4015.3472,0.0010,4015.3477,0.0005
Ti,1,4015.3738,0.0019,4015.3726,0.0005
Pr,2,4015.39,0.10,4015.391+,0.023
Er,2,4015.57,0.10,,
Th,2,4015.5890,0.0023,4015.59015,0.00011
Fe,1,4015.606,0.003,4015.6053,0.0004
V,1,4015.659,0.005,4015.6601,0.0008
Cu,1,4015.8,0.3,4015.898,0.097
Th,2,4015.8271,0.0004,4015.82722,0.00010
Ce,2,4015.88,0.10,4015.8750+,0.0023
Cr,1,4016.26,0.06,4016.2636,0.0005
Ti,1,4016.2761,0.0019,4016.2739,0.0005
Th,2,4016.3003,0.0005,4016.30031,0.00013
Fe,1,4016.4191,0.0013,4016.41920,0.00023
Th,2,4016.4381,0.0023,4016.43169,0.00024
Cr,1,4016.60,0.03,4016.5967,0.0005
V,1,4016.663,0.003,4016.6640,0.0005
Mn,1,,,4016.675,0.010
Cr,1,4016.824,0.020,4016.8757,0.0003
Ti,1,4016.9636,0.0019,4016.9608,0.0008
Fe,1,4017.0832,0.0013,4017.08236,0.00023
V,1,4017.133,0.002,4017.1332,0.0011
Fe,1,4017.1483,0.0005,4017.14822,0.00023
Fe,1,4017.4616,0.0013,4017.4630,0.0005
Th,2,4017.4881,0.0003,4017.48798,0.00007
V,1,4017.4887,,4017.4887,0.0006
Eu,2,4017.58,0.10,,
Th,2,4017.7091,0.0023,4017.70954,0.00015
U,2,4017.72,0.10,,
Ti,1,4017.7674,0.0019,4017.7685,0.0006
Ho,2,4018.09,0.10,,
Mn,1,4018.10,0.10,4018.100,0.010
Cr,1,4018.2115,0.0006,4018.21156,0.00015
Fe,1,4018.2673,0.0005,4018.26688,0.00023
Th,2,4018.7697,0.0005,4018.77023,0.00016
Nd,2,4018.826,0.010,4018.8232+,0.0023
V,1,4018.932,0.003,4018.9321,0.0003
U,2,4018.99,0.10,,
Ce,2,4019.04,0.10,4019.0570+,0.0023
Fe,1,4019.0417,0.0024,4019.0437,0.0005
Th,2,4019.12875,0.00003,4019.12876,0.00003
V,1,4019.1367,0.0010,4019.1376,0.0006
Th,2,4019.3698,0.0013,4019.36996,0.00023
V,1,4019.449,0.002,4019.4476,0.0006
Sm,2,4019.98,0.10,,
Mn,1,,,4020.068,0.010
Th,2,4020.1021,0.0004,4020.10135,0.00008
V,1,4020.287,0.003,4020.2875,0.0011
Fe,1,4020.483,0.003,4020.48342,0.00023
V,1,4020.539,0.003,4020.5395,0.0011
Nd,2,4020.872,0.010,4020.8639+,0.0023
Sr,1,4020.882,0.005,4020.883,0.005
Th,2,4020.9150,0.0023,4020.91674,0.00016
Pr,2,4020.96,0.10,,
Mo,1,4021.011,0.010,4021.0116+,0.0023
Ti,1,4021.1078,0.0019,4021.1031,0.0005
Nd,2,4021.330,0.010,4021.3273+,0.0023
Mn,1,,,4021.341,0.010
Cr,1,4021.385,0.030,4021.355,0.024
Cr,1,4021.385,0.030,4021.3830,0.0006
V,1,4021.414,0.002,4021.4155,0.0005
Fe,1,4021.6025,0.0024,4021.60281,0.00023
V,1,4021.682,0.002,4021.6822,0.0018
Nd,2,4021.78,0.10,4021.7277+,0.0023
Ti,1,4021.8151,0.0019,4021.8156,0.0005
Fe,1,4021.866,0.003,4021.86604,0.00023
V,1,4021.909,0.003,4021.9091,0.0010
V,1,4022.095,0.007,4022.1135,0.0006
Th,2,4022.09590,0.00011,4022.09582,0.00004
Ru,1,4022.16,0.10,4022.161+,0.023
Fe,1,4022.2124,0.0024,4022.21217,0.00023
Cr,1,4022.2597,0.0009,4022.2595,0.0010
Ce,2,4022.27,0.10,4022.2691+,0.0023
Gd,2,4022.33,0.10,,
Cr,1,4022.57,0.03,4022.5675,0.0006
Cu,1,4022.629,0.009,4022.6286,0.0021
Pr,2,4022.71,0.10,,
Fe,1,4022.735,0.003,4022.73738,0.00023
Fe,1,4022.735,0.003,4022.73932,0.00023
Ho,2,4022.76,0.10,,
Nd,2,4023.00,0.10,4023.0038+,0.0023
V,1,4023.050,0.005,4023.0487,0.0010
V,1,4023.1694,0.0018,4023.1693,0.0010
Sm,2,4023.23,0.10,,
V,1,4023.427,0.002,4023.4259,0.0008
Cr,1,4023.43,0.03,4023.42612,0.00018
Th,2,4023.5421,0.0023,4023.54093,0.00012
La,2,4023.59,0.10,4023.578+,0.023
Ti,1,4023.6789,0.0019,4023.6765,0.0011
Cr,1,4023.7336,0.0030,4023.7349,0.0010
Th,2,4023.7651,0.0023,4023.7664,0.0010
Ru,1,4023.83,0.10,4023.830+,0.023
Ho,2,4023.94,0.10,,
He,1,4023.973,0.010,4023.979795,0.000020
Zr,1,4023.98,0.10,,
Cr,1,4024.03,0.03,4024.0286,0.0003
Fe,1,4024.0960,0.0013,4024.09563,0.00023
Ti,1,4024.307,0.004,4024.3141,0.0005
V,1,4024.424,0.003,4024.4233,0.0010
Th,2,4024.4688,0.0003,4024.46872,0.00007
Ce,2,4024.49,0.10,4024.4846+,0.0023
Cr,1,4024.5648,0.0012,4024.56404,0.00018
Ti,1,4024.5709,0.0019,4024.5711,0.0006
Th,2,4024.7150,0.0005,4024.7139,0.0003
Fe,1,4024.7248,0.0005,4024.72471,0.00023
Ti,1,4024.7414,0.0019,4024.7429,0.0005
Nd,2,4024.785,0.010,4024.7839+,0.0023
Zr,1,4024.92,0.10,,
Cr,1,4025.0034,0.0005,4025.00329,0.00020
Ti,1,4025.0762,0.0019,4025.0770,0.0010
Ce,2,4025.15,0.10,4025.1391+,0.0023
Ti,1,4025.2245,0.0019,4025.2259,0.0010
V,1,4025.300,0.002,4025.3010,0.0006
Cr,1,4025.4457,0.0012,4025.44512,0.00020
Pr,2,4025.54,0.10,,
Th,2,4025.6187,0.0003,4025.61910,0.00012
Th,2,4025.6187,0.0003,4025.6201,0.0004
Th,2,4025.65546,0.00015,4025.65555,0.00005
La,2,4025.88,0.10,4025.874+,0.023
Mn,1,,,4025.94,0.10
Th,2,4025.9449,0.0004,4025.94488,0.00007
Cr,1,4025.95,0.03,4025.9435,0.0010
Th,2,4026.0430,0.0023,4026.04563,0.00016
Th,2,4026.16122,0.00015,4026.16120,0.00005
Cr,1,4026.1641,0.0005,4026.16392,0.00020
He,1,4026.1914,0.0010,4026.184368,0.000020
He,1,4026.1914,0.0010,4026.185901,0.000020
He,1,4026.1914,0.0010,4026.186005,0.000020
He,1,4026.1914,0.0010,4026.196760,0.000020
He,1,4026.1914,0.0010,4026.198294,0.000020
V,1,4026.20,0.02,4026.2126,0.0006
Cr,1,4026.2074,0.0012,4026.20784,0.00021
He,1,,,4026.356959,0.000020
Mn,1,4026.44,0.10,4026.433,0.010
Ti,1,4026.5374,0.0019,4026.5374,0.0005
Pr,2,4026.83,0.10,,
V,1,4026.910,0.005,4026.9099,0.0010
Cu,1,4027.026,0.009,4027.022,0.006
Cr,1,4027.0952,0.0005,4027.09514,0.00024
Ti,1,4027.149,0.004,4027.1534,0.0008
Zr,1,4027.20,0.10,,
Th,2,4027.34172,0.00024,4027.34168,0.00007
Th,2,4027.4117,0.0005,4027.41166,0.00007
Cr,1,4027.61,0.03,4027.6359,0.0005
Th,2,4027.6513,0.0003,4027.65149,0.00010
Ni,1,,,4027.663,0.010
Dy,2,4027.78,0.10,,
Cr,1,4027.84,0.03,4027.83252,0.00020
V,1,4027.967,0.003,4027.9668,0.0008
Cr,1,4028.0423,0.0015,4028.0448,0.0003
Cr,1,4028.09,0.03,4028.0973,0.0018
V,1,4028.099,0.005,4028.0965,0.0005
Dy,2,4028.32,0.10,,
Ce,2,4028.41,0.10,4028.4036+,0.0023
Cr,1,4028.467,0.030,4028.46527,0.00020
Cr,1,4028.467,0.030,4028.495,0.008
Mn,1,,,4028.590,0.010
Th,2,4028.6293,0.0005,4028.62783,0.00020
Th,2,4028.6990,0.0003,4028.69887,0.00012
Zr,1,4028.95,0.10,,
Pr,2,4029.00,0.10,,
Th,2,4029.0254,0.0004,4029.02512,0.00020
Th,2,4029.3220,0.0003,4029.32197,0.00007
Th,2,4029.5194,0.0003,4029.51929,0.00007
Fe,1,4029.6290,0.0005,4029.63187,0.00023
Pr,2,4029.72,0.10,,
V,1,4029.889,0.003,4029.8888,0.0004
Zr,1,4030.04,0.10,,
V,1,4030.046,0.002,4030.0482,0.0008
V,1,4030.118,0.005,4030.1190,0.0007
Fe,1,4030.1846,0.0005,4030.18404,0.00023
Ce,2,4030.34,0.10,4030.3387+,0.0023
Sr,1,4030.377,0.002,4030.3772,0.0016
Nd,2,4030.470,0.010,4030.4713+,0.0023
Fe,1,4030.4883,0.0005,4030.48821,0.00023
Ti,1,4030.5111,0.0019,4030.5112,0.0005
Th,2,4030.5253,0.0006,4030.52472,0.00016
Cr,1,4030.6764,0.0009,4030.6765,0.0008
Ti,1,4030.6980,0.0020,4030.6988,0.0005
Mn,1,4030.76,0.10,4030.753,0.010
Fe,1,4030.8902,0.0013,4030.88913,0.00023
Th,2,4031.0923,0.0003,4031.09227,0.00016
Cr,1,4031.1214,0.0019,4031.1213,0.0010
V,1,4031.219,0.003,4031.2167,0.0011
Th,2,4031.2251,0.0023,4031.22556,0.00008
Fe,1,4031.2400,0.0024,4031.23974,0.00023
Th,2,4031.3310,0.0004,4031.33128,0.00013
Ce,2,4031.34,0.10,4031.3316+,0.0023
V,1,4031.571,0.003,4031.5714,0.0010
La,2,4031.69,0.10,4031.686+,0.023
Fe,1,4031.7277,0.0024,4031.72764,0.00023
Pr,2,4031.75,0.10,4031.753+,0.023
Ti,1,4031.7550,0.0020,4031.7551,0.0007
Th,2,4031.7810,0.0023,4031.78113,0.00010
Mn,1,,,4031.789,0.010
Nd,2,4031.82,0.10,4031.7839+,0.0023
V,1,4031.8290,0.0018,4031.8291,0.0010
Fe,1,4031.9604,0.0005,4031.9605,0.0004
Th,2,4032.0350,0.0023,4032.03503,0.00016
Cr,1,4032.18,0.08,4032.1768,0.0010
Cr,1,4032.18,0.08,4032.1774,0.0011
Th,2,4032.2394,0.0005,4032.23875,0.00010
S,1,,,4032.249+,0.016
Sr,1,4032.379,0.002,4032.3780,0.0016
Fe,1,4032.4556,0.0024,4032.4541,0.0012
Dy,2,4032.47,0.10,,
Pr,2,4032.47,0.10,4032.488+,0.023
Th,2,4032.47006,0.00021,4032.47062,0.00007
V,1,4032.49,0.02,4032.4630,0.0007
Fe,1,4032.6272,0.0005,4032.62684,0.00023
Cr,1,4032.63,0.03,4032.6032,0.0010
S,1,,,4032.843+,0.016
V,1,4032.844,0.003,4032.8426,0.0007
Th,2,4032.8927,0.0005,4032.89433,0.00007
V,1,4033.06,0.02,4033.0638,0.0007
Mn,1,4033.07,0.10,4033.062,0.010
Fe,1,4033.1861,0.0013,4033.18569,0.00023
Sr,1,4033.191,0.003,4033.187,0.003
Cr,1,4033.2672,0.0005,4033.26734,0.00021
Sb,1,4033.5367,0.0010,4033.5367,0.0010
Dy,2,4033.65,0.10,,
V,1,4033.727,0.003,4033.7279,0.0013
Pr,2,4033.83,0.10,4033.830+,0.023
Ti,1,4033.9019,0.0020,4033.9006,0.0008
Cr,1,4033.94,0.03,4033.93095,0.00021
Cr,1,4033.9737,0.0019,4033.97504,0.00021
S,1,4034.01,0.10,4034.06,0.10
Th,2,4034.24599,0.00015,4034.24613,0.00005
Pr,2,4034.33,0.10,4034.324+,0.023
Th,2,4034.3641,0.0023,4034.36082,0.00013
Mn,1,4034.49,0.10,4034.483,0.010
V,1,4034.736,0.004,4034.73598,0.00020
Ti,1,4034.8905,0.0020,4034.8905,0.0010
Th,2,4034.92170,0.00020,4034.92174,0.00007
V,1,4035.089,0.004,4035.0886,0.0010
Sm,2,4035.11,0.10,,
Cr,1,4035.1985,0.0013,4035.1980,0.0003
Th,2,4035.2360,0.0023,4035.23963,0.00020
Fe,1,4035.5941,0.0024,4035.594,0.008
Mn,1,4035.73,0.10,,
Ti,1,4035.8254,0.0020,4035.8260,0.0008
Cr,1,4035.88,0.03,4035.891,0.011
V,1,4035.887,0.005,4035.8917,0.0003
Zr,1,4035.89,0.10,,
Ni,1,,,4035.949,0.010
V,1,4036.16,0.02,4036.1713,0.0004
Dy,2,4036.32,0.10,,
Fe,1,4036.366,0.003,4036.36651,0.00023
Th,2,4036.56505,0.00008,4036.56508,0.00007
La,2,4036.59,0.10,4036.585+,0.023
Cr,1,4036.8072,0.0060,4036.80610,0.00020
Th,2,4037.1320,0.0023,4037.12910,0.00013
V,1,4037.245,0.003,4037.2424,0.0015
Cr,1,4037.2515,0.0013,4037.25052,0.00020
Cr,1,4037.2944,0.0005,4037.29469,0.00021
Gd,2,4037.33,0.10,,
V,1,4037.387,0.005,4037.3997,0.0004
Th,2,4037.4281,0.0007,4037.42944,0.00008
Ce,2,4037.67,0.10,4037.6621+,0.0023
Gd,2,4037.90,0.10,,
V,1,4037.983,0.002,4037.9825,0.0010
Nd,2,4038.124,0.010,4038.1231+,0.0023
Pr,2,4038.22,0.10,,
Th,2,4038.3510,0.0023,4038.3524,0.0007
Th,2,4038.4270,0.0023,4038.42833,0.00007
Pr,2,4038.45,0.10,4038.455+,0.023
Sr,1,4038.642,0.005,4038.640,0.005
Mn,1,4038.73,0.10,4038.723,0.010
Fe,1,4038.7896,0.0013,4038.78924,0.00023
Cr,1,4038.8258,0.0019,4038.82734,0.00021
Ho,2,4038.87,0.10,,
Th,2,4038.9030,0.0023,4038.90362,0.00015
Cr,1,4039.0906,0.0004,4039.0899,0.0003
Ru,1,4039.21,0.10,4039.207+,0.023
Cr,1,4039.2953,0.0012,4039.2952,0.0004
Pr,2,4039.34,0.10,4039.343+,0.023
Th,2,4039.4351,0.0003,4039.43515,0.00010
Cr,1,4039.58,0.03,4039.570,0.015
Y,1,4039.826,0.010,4039.8222,0.0016
Fe,1,4039.938,0.003,4039.93810,0.00023
V,1,4040.059,0.004,4040.0545,0.0020
V,1,4040.292,0.002,4040.29127,0.00018
Ti,1,4040.3166,0.0020,4040.3156,0.0005
Th,2,4040.39300,0.00023,4040.39298,0.00005
Fe,1,4040.6379,0.0005,4040.63812,0.00023
Cr,1,4040.753,0.020,4040.7561,0.0003
Ce,2,4040.76,0.10,4040.7528+,0.0023
Nd,2,4040.796,0.010,4040.7918+,0.0023
Cr,1,4041.04,0.03,4041.0342,0.0003
Nd,2,4041.06,0.10,4041.0564+,0.0023
Th,2,4041.20344,0.00011,4041.20354,0.00007
Fe,1,4041.271,0.003,4041.27091,0.00023
Fe,1,4041.271,0.003,4041.27843,0.00023
Mn,1,4041.36,0.10,4041.355,0.010
V,1,4041.520,0.002,4041.5192,0.0007
Fe,1,4041.6489,0.0025,4041.6488,0.0005
Sm,2,4041.68,0.10,,
Cr,1,4041.7964,0.0012,4041.79714,0.00021
Th,2,4041.8119,0.0005,4041.81185,0.00012
Dy,2,4041.98,0.10,,
Zr,1,4042.22,0.10,,
Cr,1,4042.2425,0.0006,4042.24267,0.00021
Ce,2,4042.58,0.10,4042.5806+,0.0023
V,1,4042.630,0.002,4042.6303,0.0008
Sm,2,4042.72,0.10,,
Sm,2,4042.90,0.10,,
La,2,4042.91,0.10,4042.901+,0.023
Cr,1,4042.92,0.03,4042.9296,0.0003
Th,2,4042.9763,0.0003,4042.97644,0.00013
Er,2,4043.01,0.10,,
Th,2,4043.13012,0.00015,4043.13014,0.00010
Zr,1,4043.58,0.10,,
Nd,2,4043.596,0.010,4043.5949+,0.0023
Cr,1,4043.6564,0.0015,4043.65774,0.00021
Cr,1,4043.6838,0.0013,4043.6850,0.0005
Ti,1,4043.7542,0.0020,4043.7573,0.0008
Th,2,4043.8520,0.0023,4043.84933,0.00010
Fe,1,,,4043.88486,0.00023
Fe,1,4043.8964,0.0005,4043.89713,0.00023
Fe,1,4043.9767,0.0013,4043.97712,0.00023
Sm,2,4044.11,0.10,,
K,1,4044.136,0.010,4044.1422,0.0008
Cr,1,4044.152,0.020,4044.1510,0.0003
U,2,4044.41,0.10,,
Fe,1,4044.4906,0.0025,4044.4920,0.0004
Fe,1,4044.5444,0.0013,4044.5449,0.0004
Zr,1,4044.56,0.10,,
Fe,1,4044.6089,0.0005,4044.60883,0.00023
Pr,2,4044.81,0.10,4044.813+,0.023
V,1,4044.9213,0.0018,4044.9214,0.0011
Sm,2,4045.05,0.10,,
Fe,1,4045.1116,0.0025,4045.1122,0.0005
Cr,1,4045.12,0.08,4045.115,0.003
Cr,1,4045.12,0.08,4045.197,0.018
Mn,1,4045.13,0.10,,
Mn,1,4045.21,0.10,,
Ce,2,4045.21,0.10,4045.2211+,0.0023
V,1,4045.395,0.002,4045.3949,0.0013
Ho,2,4045.44,0.10,4045.47+,0.16
Cr,1,4045.47,0.03,4045.46,0.03
Fe,1,4045.5936,0.0005,4045.59336,0.00023
Th,2,4045.62739,0.00021,4045.62741,0.00005
Pr,2,4045.70,0.10,,
Cr,1,4045.75,0.03,4045.742,0.005
Fe,1,4045.8122,0.0005,4045.81193,0.00023
Fe,1,4046.0620,0.0005,4046.06181,0.00023
Sm,2,4046.16,0.10,,
Cr,1,4046.1854,0.0015,4046.18702,0.00021
V,1,4046.236,0.003,4046.2344,0.0008
Ce,2,4046.34,0.10,4046.3379+,0.0023
Pr,2,4046.63,0.10,,
Cr,1,4046.7563,0.0009,4046.75712,0.00020
Gd,2,4046.84,0.10,,
V,1,4046.878,0.003,4046.87715,0.00018
Pr,2,4047.08,0.10,4047.081+,0.023
Sm,2,4047.16,0.10,,
K,1,4047.208,0.010,4047.2132,0.0008
Fe,1,4047.3037,0.0025,4047.3025,0.0004
V,1,4047.42,0.06,4047.4267,0.0010
V,1,4047.4213,,4047.4213,0.0007
Y,1,4047.6284,0.0010,4047.6281,0.0017
Th,2,4048.0317,0.0003,4048.03162,0.00007
Er,2,4048.34,0.10,,
V,1,4048.615,0.002,4048.6136,0.0005
Sm,2,4048.62,0.10,,
Mn,1,4048.76,0.10,4048.743,0.010
Cr,1,4048.7797,0.0004,4048.7794,0.0003
Nd,2,4048.81,0.10,4048.8100+,0.0023
Mn,1,4049.00,0.10,,
Cr,1,4049.083,0.020,4049.0419,0.0020
Fe,1,4049.3267,0.0005,4049.32629,0.00023
Ti,1,4049.3935,0.0020,4049.3929,0.0005
Gd,2,4049.43,0.10,,
Er,2,4049.49,0.10,,
Th,2,4049.7470,0.0023,4049.74567,0.00021
Cr,1,4049.7738,0.0012,4049.7737,0.0004
Sm,2,4049.81,0.10,,
Th,2,4049.8233,0.0005,4049.82282,0.00012
Gd,2,4049.86,0.10,4049.8545+,0.0023
Cr,1,4050.0220,0.0012,4050.0229,0.0003
U,2,4050.04,0.10,,
La,2,4050.08,0.10,4050.073+,0.023
Sr,1,4050.4,0.3,4050.4,0.3
Zr,1,4050.48,0.10,,
Dy,2,4050.56,0.10,,
Cu,1,4050.617,0.021,4050.641,0.026
Fe,1,4050.6739,0.0025,4050.6732,0.0005
V,1,4050.9536,0.0015,4050.95370,0.00018
Pr,2,4051.13,0.10,,
Nd,2,4051.145,0.010,4051.1407+,0.0023
Mo,1,4051.180,0.010,4051.1804+,0.0023
Th,2,4051.2771,0.0023,4051.27846,0.00018
V,1,4051.349,0.010,4051.3459,0.0005
Ru,1,4051.40,0.10,4051.391+,0.023
Ce,2,4051.43,0.10,4051.4237+,0.0023
Mn,1,4051.73,0.10,,
Fe,1,4051.9051,0.0013,4051.90535,0.00023
U,2,4051.91,0.10,,
Ce,2,4051.99,0.10,4051.9903+,0.0023
Fe,1,4052.0130,0.0025,4052.0131,0.0004
Fe,1,4052.2952,0.0025,4052.29296,0.00023
Cu,1,4052.380,0.017,4052.381,0.007
Fe,1,4052.4404,0.0025,4052.43900,0.00023
Th,2,4052.4431,0.0023,4052.44732,0.00013
V,1,4052.447,0.003,4052.4475,0.0007
Mn,1,4052.47,0.10,4052.472,0.010
Sr,1,4052.512,0.005,4052.512,0.005
Fe,1,4052.6528,0.0013,4052.65223,0.00023
Fe,1,4052.7224,0.0025,4052.72009,0.00023
Ti,1,4052.9214,0.0020,4052.9256,0.0008
V,1,4053.249,0.002,4053.2498,0.0012
Gd,2,4053.29,0.10,,
Th,2,4053.4850,0.0005,4053.48435,0.00012
Ce,2,4053.51,0.10,4053.5031+,0.0023
V,1,4053.648,0.003,4053.6497,0.0008
Ru,1,4054.05,0.10,4054.051+,0.023
Fe,1,4054.1768,0.0025,4054.17774,0.00023
Th,2,4054.1812,0.0007,4054.18102,0.00008
U,2,4054.30,0.10,,
Ho,2,4054.48,0.10,,
Mg,1,4054.689,0.010,4054.688,0.010
Th,2,4054.7651,0.0023,4054.76411,0.00013
O,1,,,4054.77,0.10
O,1,,,4054.79,0.10
Cr,1,4054.80,0.03,4054.7761,0.0016
Fe,1,4054.8053,0.0005,4054.80541,0.00023
O,1,,,4054.83,0.10
Fe,1,4054.8666,0.0005,4054.86626,0.00023
Pr,2,4054.88,0.10,4054.860+,0.023
Ce,2,4054.99,0.10,4054.9875+,0.0023
Ti,1,4055.0112,0.0020,4055.0115,0.0010
Zr,1,4055.03,0.10,,
